,Tweet,Time,User
0,🇩🇪🇩🇪 Danke Deutschland!! 🇩🇪🇩🇪,2022-03-22 13:30:39+00:00,elonmusk
1,@JaneidyEve @thesheetztweetz @QuiltyAnalytics New,2022-03-22 01:16:08+00:00,elonmusk
2,@ashleevance 🐍 🐓 🤔,2022-03-22 01:15:35+00:00,elonmusk
3,@ashleevance 🤣🤣,2022-03-22 01:13:38+00:00,elonmusk
4,"@thesheetztweetz @QuiltyAnalytics First Starship orbital flight will be with Raptor 2 engines, as they are much more capable &amp; reliable. 230 ton or ~500k lb thrust at sea level.

We’ll have 39 flightworthy engines built by next month, then another month to integrate, so hopefully May for orbital flight test.",2022-03-21 19:19:53+00:00,elonmusk
5,"@thesheetztweetz @QuiltyAnalytics SpaceX default plan was ~65% of global launch mass to orbit this year. Incremental demand might take that to ~70%, so not a major change. Those numbers don’t count Starship.

Rough math is ~16 tons * 50 launches = 800 tons. Rest of world is &lt;400 tons (mostly China).",2022-03-21 18:59:50+00:00,elonmusk
6,@DivesTech Makes a huge difference to capital efficiency to localize production within a continent,2022-03-21 18:42:03+00:00,elonmusk
7,Excited to hand over the first production cars made by Giga Berlin-Brandenburg tomorrow!,2022-03-21 18:38:32+00:00,elonmusk
8,@RationalEtienne @BillyM2k 🤣,2022-03-21 18:10:38+00:00,elonmusk
9,"@BillyM2k Ok, maybe I should play League then",2022-03-21 18:05:28+00:00,elonmusk
10,"@DoctorJack16 Main Tesla subjects will be scaling to extreme size, which is needed to shift humanity away from fossil fuels, and AI.

But I will also Include sections about SpaceX, Tesla and The Boring Company.",2022-03-21 06:20:49+00:00,elonmusk
11,"@cz_binance Managed to throw him, but it cost me smashing my c5-c6 disc &amp; 8 years of mega back pain! Finally fixed with c5-c6 disc fusion.",2022-03-21 06:13:28+00:00,elonmusk
12,@cz_binance https://t.co/SvZdL2Sk98,2022-03-21 05:44:43+00:00,elonmusk
13,@thebenbergman Working on it,2022-03-21 05:42:11+00:00,elonmusk
14,"@spideycyp_155 @ray4tesla @jchybow @NuovaRealta @RenataKonkoly @Kristennetten @EvaFoxU @GailAlfarATX @teslaownersSV @Tesmanian_com @Teslarati @teslectrics Giga Berlin-Brandenburg will be covered with beautiful art, inside and out",2022-03-20 18:34:02+00:00,elonmusk
15,@Teslarati @ResidentSponge The six seat Model X is best imo. There are times when I only want to offer that variant.,2022-03-20 17:25:04+00:00,elonmusk
16,https://t.co/qZSX2up9W0,2022-03-19 08:35:46+00:00,elonmusk
17,Also the heaviest Falcon 9 payload at 16.25 metric tons,2022-03-19 05:49:35+00:00,elonmusk
18,https://t.co/W4He1AVV3S https://t.co/xjZSweoEE2,2022-03-19 05:48:12+00:00,elonmusk
19,As it ends the cycle of retribution,2022-03-19 03:26:10+00:00,elonmusk
20,"The limbic instinct for vengeance is incredibly strong, which is why turn the other cheek is such a powerful idea",2022-03-19 03:24:17+00:00,elonmusk
21,@BillyM2k 🤣,2022-03-19 03:00:13+00:00,elonmusk
22,@mgsiegler Absolutely,2022-03-18 22:47:52+00:00,elonmusk
23,@teslaownersSV @PaperBagInvest True. That was mega pain.,2022-03-18 21:30:20+00:00,elonmusk
24,"@PaperBagInvest But reaching volume production with sustained positive cash flow was last achieved by an American car company, Chrysler, ~100 years ago!

Ford &amp; Tesla are the only American car companies to avoid bankruptcy. Even GM &amp; Chrysler went bankrupt in 2009.",2022-03-18 21:27:38+00:00,elonmusk
25,"@PaperBagInvest Prototypes are easy, production is hard. 

Making an electric car was not the hard part of Tesla – dozens of companies have done that.",2022-03-18 21:25:58+00:00,elonmusk
26,"@MrManderly @mysteriouskat @Independent @rustyrockets Good point. Politicians &amp; political parties should be supported on their merits, not like they are one’s favorite sports team.",2022-03-18 20:42:49+00:00,elonmusk
27,"@Independent With so many mainstream media companies saying @rustyrockets is crazy/dangerous, I watched some of his videos. Ironically, he seemed more balanced &amp; insightful than those condemning him!

The groupthink among major media companies is more troubling. There should be more dissent.",2022-03-18 20:15:37+00:00,elonmusk
28,@WholeMarsBlog FSD releasing to Canada next week,2022-03-18 02:30:27+00:00,elonmusk
29,@Rainmaker1973 Yeah :),2022-03-17 13:52:30+00:00,elonmusk
30,"I have so much respect for the associates doing an honest day’s work at Tesla or SpaceX building &amp; servicing cars, rockets, Starlinks, batteries, solar &amp; many other things",2022-03-17 06:56:51+00:00,elonmusk
31,Working hard to make useful products &amp; services for your fellow humans is deeply morally good,2022-03-17 06:52:38+00:00,elonmusk
32,Working on Master Plan Part 3,2022-03-17 04:19:35+00:00,elonmusk
33,@WholeMarsBlog Took us way too long,2022-03-17 04:17:50+00:00,elonmusk
34,@engineers_feed 😉,2022-03-16 20:07:34+00:00,elonmusk
35,@SpaceHub_SL 2029,2022-03-16 19:10:49+00:00,elonmusk
36,"@wowsuchcurrency True, I do support the current thing haha!",2022-03-16 18:06:07+00:00,elonmusk
37,@pmarca Yeah,2022-03-16 06:08:59+00:00,elonmusk
38,@engineers_feed Hardcore,2022-03-16 02:53:37+00:00,elonmusk
39,"@WholeMarsBlog They have no idea how hard FSD is. Only path to success imo is hardcore real-world AI software with dedicated NN inference acceleration ASICs in car, multibillion dollar NN training supercluster and 10+ billion miles of vehicle data. Good luck.",2022-03-16 00:17:21+00:00,elonmusk
